type,name,hill_group,grid_ref,height
 MUNRO      , Sgurr an Doire Leathain                                     , Glen Shiel                                      , NH015099 ,3313
 MUNRO      , Sgurr an Lochain                                            , Glen Shiel                                      , NH005104 ,3293
 MUNRO      , Sgurr Ban                                                   , Dundonnell and Fisherfield                      , NH055745 ,3244
 MUNRO      , Sgurr Breac                                                 , Fannaichs and Ullapool                          , NH158711 ,3277
 MUNRO      , Sgurr Choinnich                                             , Achnashellach and Torridon                      , NH076446 ,3277
 MUNRO      , Sgurr Choinnich Mor                                         , Nevis Range and Grey Corries                    , NN227714 ,3589
 MUNRO      , Sgurr Dearg (inaccessible pinnacle)                         , The Islands                                     , NG444215 ,3234
 MUNRO      , Sgurr Dubh Mor                                              , The Islands                                     , NG457205 ,3097
 MUNRO      , Sgurr Eilde Mor                                             , Mamores                                         , NN230657 ,3313
 MUNRO      , Sgurr Fhuaran                                               , Glen Shiel                                      , NG978166 ,3500
 MUNRO      , Sgurr Fiona (An Teallach)                                   , Dundonnell and Fisherfield                      , NH064837 ,3477
 MUNRO      , Sgurr Fuar-Thuill                                           , Glen Affric and Strathfarrar                    , NH235437 ,3441
 MUNRO      , Sgurr Mhic Choinnich                                        , The Islands                                     , NG450210 ,3110
 MUNRO      , Sgurr Mhor (Beinn Alligin)                                  , Achnashellach and Torridon                      , NG865613 ,3234
 MUNRO      , Sgurr Mor [Glen Kingie]                                     , Knoydart and Loch Quoich                        , NM965980 ,3290
 MUNRO      , Sgurr Mor [Loch Fannaich]                                   , Fannaichs and Ullapool                          , NH203718 ,3641
 MUNRO      , Sgurr na Banachdich                                         , The Islands                                     , NG440224 ,3166
 MUNRO      , Sgurr na Carnach                                            , Glen Shiel                                      , NG977158 ,3287
 MUNRO      , Sgurr na Ciche                                              , Knoydart and Loch Quoich                        , NM902966 ,3412
 MUNRO      , Sgurr na Ciste Duibhe                                       , Glen Shiel                                      , NG984149 ,3369
 MUNRO      , Sgurr na Lapaich                                            , Glen Affric and Strathfarrar                    , NH160351 ,3772
 MUNRO      , Sgurr na Ruaidhe                                            , Glen Affric and Strathfarrar                    , NH288426 ,3257
